FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,UA,3,MCO,"Orlando, FL",FL,EWR,"Newark, NJ",NJ,1643,1640,-3,1927,1910,-17,0,0,164,150,937,,,,,
1/1/2015,UA,12,DEN,"Denver, CO",CO,IAD,"Washington, DC",VA,2358,112,74,508,616,68,0,0,190,184,1452,66,0,0,0,2
1/1/2015,UA,14,HNL,"Honolulu, HI",HI,EWR,"Newark, NJ",NJ,2125,2149,24,1201,1224,23,0,0,576,575,4962,23,0,0,0,0
1/1/2015,UA,15,EWR,"Newark, NJ",NJ,HNL,"Honolulu, HI",HI,910,911,1,1518,1458,-20,0,0,668,647,4962,,,,,
1/1/2015,UA,72,HNL,"Honolulu, HI",HI,SFO,"San Francisco, CA",CA,725,728,3,1435,1422,-13,0,0,310,294,2398,,,,,
1/1/2015,UA,72,SFO,"San Francisco, CA",CA,DEN,"Denver, CO",CO,1753,1802,9,2123,2219,56,0,0,150,197,967,9,0,47,0,0
1/1/2015,UA,73,EWR,"Newark, NJ",NJ,SFO,"San Francisco, CA",CA,1141,1211,30,1515,1524,9,0,0,394,373,2565,,,,,
1/1/2015,UA,73,SFO,"San Francisco, CA",CA,HNL,"Honolulu, HI",HI,1610,1613,3,1944,1952,8,0,0,334,339,2398,,,,,
1/1/2015,UA,112,LAS,"Las Vegas, NV",NV,IAH,"Houston, TX",TX,710,707,-3,1209,1202,-7,0,0,179,175,1222,,,,,
1/1/2015,UA,144,HNL,"Honolulu, HI",HI,IAD,"Washington, DC",VA,1700,1704,4,713,700,-13,0,0,553,536,4817,,,,,
1/1/2015,UA,145,IAD,"Washington, DC",VA,HNL,"Honolulu, HI",HI,855,1015,80,1431,1606,95,0,0,636,651,4817,0,0,15,0,80
1/1/2015,UA,174,LAX,"Los Angeles, CA",CA,EWR,"Newark, NJ",NJ,1431,1430,-1,2254,2216,-38,0,0,323,286,2454,,,,,
1/1/2015,UA,195,BDL,"Hartford, CT",CT,ORD,"Chicago, IL",IL,630,641,11,809,814,5,0,0,159,153,783,,,,,
1/1/2015,UA,195,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,923,923,0,1307,1249,-18,0,0,164,146,1005,,,,,
1/1/2015,UA,200,GUM,"Guam, TT",TT,HNL,"Honolulu, HI",HI,710,801,51,1820,1916,56,0,0,430,435,3801,51,0,5,0,0
1/1/2015,UA,201,HNL,"Honolulu, HI",HI,GUM,"Guam, TT",TT,1450,1611,81,1840,1943,63,0,0,470,452,3801,63,0,0,0,0
1/1/2015,UA,202,ORD,"Chicago, IL",IL,OGG,"Kahului, HI",HI,1020,1024,4,1535,1523,-12,0,0,555,539,4184,,,,,
1/1/2015,UA,203,AUS,"Austin, TX",TX,EWR,"Newark, NJ",NJ,1543,1743,120,2022,2208,106,0,0,219,205,1504,21,0,0,0,85
1/1/2015,UA,203,DEN,"Denver, CO",CO,AUS,"Austin, TX",TX,955,1006,11,1304,1339,35,0,0,129,153,775,11,0,24,0,0
1/1/2015,UA,204,DFW,"Dallas/Fort Worth, TX",TX,IAH,"Houston, TX",TX,654,653,-1,803,802,-1,0,0,69,69,224,,,,,
1/1/2015,UA,204,IAH,"Houston, TX",TX,SAT,"San Antonio, TX",TX,914,953,39,1019,1056,37,0,0,65,63,191,37,0,0,0,0
1/1/2015,UA,205,EWR,"Newark, NJ",NJ,MIA,"Miami, FL",FL,1915,1915,0,2223,2210,-13,0,0,188,175,1085,,,,,
1/1/2015,UA,205,PBI,"West Palm Beach/Palm Beach, FL",FL,EWR,"Newark, NJ",NJ,1444,1445,1,1729,1741,12,0,0,165,176,1023,,,,,
1/1/2015,UA,206,EWR,"Newark, NJ",NJ,IAH,"Houston, TX",TX,624,623,-1,923,920,-3,0,0,239,237,1400,,,,,
1/1/2015,UA,206,IAH,"Houston, TX",TX,FLL,"Fort Lauderdale, FL",FL,1026,1044,18,1351,1355,4,0,0,145,131,965,,,,,
1/1/2015,UA,207,FLL,"Fort Lauderdale, FL",FL,IAH,"Houston, TX",TX,620,614,-6,811,806,-5,0,0,171,172,965,,,,,
1/1/2015,UA,207,IAH,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,902,912,10,1050,1053,3,0,0,228,221,1379,,,,,
1/1/2015,UA,208,DCA,"Washington, DC",VA,IAH,"Houston, TX",TX,1510,1516,6,1743,1742,-1,0,0,213,206,1208,,,,,
1/1/2015,UA,208,IAH,"Houston, TX",TX,PDX,"Portland, OR",OR,1838,2022,104,2120,2235,75,0,0,282,253,1825,50,0,0,0,25
1/1/2015,UA,209,LAX,"Los Angeles, CA",CA,DEN,"Denver, CO",CO,1751,1752,1,2111,2140,29,0,0,140,168,862,0,0,29,0,0
1/1/2015,UA,210,MSP,"Minneapolis, MN",MN,DEN,"Denver, CO",CO,600,556,-4,719,656,-23,0,0,139,120,680,,,,,
1/1/2015,UA,211,FLL,"Fort Lauderdale, FL",FL,IAH,"Houston, TX",TX,743,811,28,932,955,23,0,0,169,164,965,23,0,0,0,0
1/1/2015,UA,211,IAH,"Houston, TX",TX,GUC,"Gunnison, CO",CO,1140,1135,-5,1328,1319,-9,0,0,168,164,886,,,,,
1/1/2015,UA,212,IAH,"Houston, TX",TX,PDX,"Portland, OR",OR,2112,2147,35,2353,1,8,0,0,281,254,1825,,,,,
1/1/2015,UA,212,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,1827,1829,2,2019,2033,14,0,0,172,184,964,,,,,
1/1/2015,UA,214,IAH,"Houston, TX",TX,LAS,"Las Vegas, NV",NV,1128,1127,-1,1255,1236,-19,0,0,207,189,1222,,,,,
1/1/2015,UA,214,PBI,"West Palm Beach/Palm Beach, FL",FL,IAH,"Houston, TX",TX,600,555,-5,750,747,-3,0,0,170,172,956,,,,,
1/1/2015,UA,215,DEN,"Denver, CO",CO,MSP,"Minneapolis, MN",MN,1953,,,2249,,,1,0,116,,680,,,,,
